Currency Pair,Price
EUR/USD,1.1901214121516457
EUR/USD,1.1852425949889174
EUR/USD,1.191723992092472
EUR/USD,1.1869079428311093
EUR/USD,1.1877454971499362
EUR/USD,1.1937672379500144
EUR/USD,1.1844790178415239
EUR/USD,1.1775252890491175
EUR/USD,1.1703058580005994
EUR/USD,1.1704860642388912
EUR/USD,1.1676042526586186
EUR/USD,1.16642023709837
EUR/USD,1.160218456429687
EUR/USD,1.1589650652510135
EUR/USD,1.1644585375066425
EUR/USD,1.1559184802589342
EUR/USD,1.164400273770402
EUR/USD,1.1635896627078048
EUR/USD,1.1732693871647177
EUR/USD,1.1632747906935759
EUR/USD,1.165520985757099
EUR/USD,1.1723493141560706
EUR/USD,1.1639031638839568
EUR/USD,1.154727751705807
EUR/USD,1.1615388469001986
EUR/USD,1.1692305799412657
EUR/USD,1.1754148365553498
EUR/USD,1.174729678332145
EUR/USD,1.1656196842830646
EUR/USD,1.1614958626749268
EUR/USD,1.1617848044338108
EUR/USD,1.169678949272325
EUR/USD,1.1750775964163538
EUR/USD,1.1833356604035243
EUR/USD,1.192474509824426
EUR/USD,1.1863296036991755
EUR/USD,1.1773529184182927
EUR/USD,1.180601064666479
EUR/USD,1.1871921519317428
EUR/USD,1.1941684561690238
EUR/USD,1.1923822522930925
EUR/USD,1.192776656925055
EUR/USD,1.1857576035208932
EUR/USD,1.1889119866189573
EUR/USD,1.1856834019265228
EUR/USD,1.1932526117557125
EUR/USD,1.1951416380076487
EUR/USD,1.1900343665061677
EUR/USD,1.1896918723652938
EUR/USD,1.1977744942564268
EUR/USD,1.2027019725471033
EUR/USD,1.211326115005016
EUR/USD,1.2096784417143627
EUR/USD,1.209602013626542
EUR/USD,1.1999794235289392
EUR/USD,1.194504129298793
EUR/USD,1.2026222761343484
EUR/USD,1.2092276655587864
EUR/USD,1.2121053109441247
EUR/USD,1.2091205193631276
EUR/USD,1.2061287508850402
EUR/USD,1.196740239841218
EUR/USD,1.1938282975873573
EUR/USD,1.2003031018432408
EUR/USD,1.2079450617990655
EUR/USD,1.2110057559552638
EUR/USD,1.206128426977598
EUR/USD,1.2145930254391366
EUR/USD,1.2147989631680989
EUR/USD,1.2097666020673519
EUR/USD,1.2166995277812662
EUR/USD,1.2224444284152998
EUR/USD,1.2277776298997989
EUR/USD,1.2188274434441628
EUR/USD,1.2126251237500845
EUR/USD,1.2204169948871024
EUR/USD,1.2105038687075214
EUR/USD,1.2163338070493148
EUR/USD,1.213586701036486
EUR/USD,1.2067270308166873
EUR/USD,1.2055249354953421
EUR/USD,1.1961126859263886
EUR/USD,1.2047216991001066
EUR/USD,1.2089782480387214
EUR/USD,1.207246910401841
EUR/USD,1.2073042859255227
EUR/USD,1.2151840353740397
EUR/USD,1.2232115075269774
EUR/USD,1.2233864979642795
EUR/USD,1.2285708928521792
EUR/USD,1.2340458375699364
EUR/USD,1.2401538606830413
EUR/USD,1.2492341479470102
EUR/USD,1.2497384297416152
EUR/USD,1.2486986509939688
EUR/USD,1.2542757084897815
EUR/USD,1.2586482105046124
EUR/USD,1.2523675188547019
EUR/USD,1.2555552370698988
EUR/USD,1.2612709255608234
EUR/USD,1.2650809717271372
EUR/USD,1.264119117851802
EUR/USD,1.2618263927755555
EUR/USD,1.2584622330495454
EUR/USD,1.2539327408796486
EUR/USD,1.2598490103230229
EUR/USD,1.262529686723502
EUR/USD,1.2716834895386304
EUR/USD,1.2746550518645243
EUR/USD,1.2698960652773097
EUR/USD,1.2706649172971425
EUR/USD,1.2689019919961915
EUR/USD,1.277692813216122
EUR/USD,1.286594821136322
EUR/USD,1.2819497831908653
EUR/USD,1.280710575540071
EUR/USD,1.2731064741140936
EUR/USD,1.28057989288336
EUR/USD,1.277329329506079
EUR/USD,1.2737335704772144
EUR/USD,1.283297345517493
EUR/USD,1.2850390907051814
EUR/USD,1.2943476858046778
EUR/USD,1.2948368206492207
EUR/USD,1.285828889666728
EUR/USD,1.2873090062069192
EUR/USD,1.2938537209210315
EUR/USD,1.2984666762636063
EUR/USD,1.3072241463379712
EUR/USD,1.3004816970414612
EUR/USD,1.3025914520206994
EUR/USD,1.3061464129780858
EUR/USD,1.3136786029579735
EUR/USD,1.316002205282125
EUR/USD,1.3167446122110447
EUR/USD,1.3206711058864131
EUR/USD,1.3121971044008862
EUR/USD,1.3143128020874815
EUR/USD,1.3206720529184148
EUR/USD,1.3293700968940612
EUR/USD,1.3205661296097635
EUR/USD,1.313366831958198
EUR/USD,1.3049664592235246
EUR/USD,1.2967618210846332
EUR/USD,1.2871642387368454
EUR/USD,1.291879646426262
EUR/USD,1.298798862186186
EUR/USD,1.302648194221304
EUR/USD,1.2948474721303092
EUR/USD,1.2924356250767552
EUR/USD,1.2977759701615885
EUR/USD,1.287979784792533
EUR/USD,1.2892855047327303
EUR/USD,1.2945650655345218
EUR/USD,1.303896733812715
EUR/USD,1.3105102360798442
EUR/USD,1.3142435184040202
EUR/USD,1.3172253572718047
EUR/USD,1.3129957429139048
EUR/USD,1.321092252091807
EUR/USD,1.3276518918193543
EUR/USD,1.3271203114886025
EUR/USD,1.3348344995360715
EUR/USD,1.3384166128535009
EUR/USD,1.336987094001041
EUR/USD,1.3431173559083338
EUR/USD,1.3517691082371897
EUR/USD,1.352117762513615
EUR/USD,1.3437558094473037
EUR/USD,1.3532630747912686
EUR/USD,1.3596885502292788
EUR/USD,1.351575780768402
EUR/USD,1.344463912235162
EUR/USD,1.3454043079686901
EUR/USD,1.354733819042966
EUR/USD,1.3615043397164701
EUR/USD,1.3680105893804542
EUR/USD,1.370133421666506
EUR/USD,1.3740131054755644
EUR/USD,1.3829093873184584
EUR/USD,1.3862906206443364
EUR/USD,1.3942429164773502
EUR/USD,1.3987229381454187
EUR/USD,1.4021746036012463
EUR/USD,1.4045161532344173
EUR/USD,1.3973184919908017
EUR/USD,1.3891669200951133
EUR/USD,1.3862550677205767
EUR/USD,1.3940488811626979
EUR/USD,1.3955375531390455
EUR/USD,1.3859310622636083
EUR/USD,1.3804537636571899
EUR/USD,1.3803646526743798
EUR/USD,1.3808155761365688
EUR/USD,1.3857231751664367
EUR/USD,1.387281249995595
EUR/USD,1.3925600638451066
EUR/USD,1.385641679610498
EUR/USD,1.3947016775270178
EUR/USD,1.3956186968699145
EUR/USD,1.4012478062881772
EUR/USD,1.3926755360515266
EUR/USD,1.3990337463291451
EUR/USD,1.4008193294386517
EUR/USD,1.3998979764575468
EUR/USD,1.4068474477457142
EUR/USD,1.3987471849212139
EUR/USD,1.4065492163061863
EUR/USD,1.4081246349945729
EUR/USD,1.4147329255043082
EUR/USD,1.4175432071842788
EUR/USD,1.41078576775773
EUR/USD,1.4115399780930644
EUR/USD,1.4072186102250681
EUR/USD,1.4042416905497273
EUR/USD,1.4108934433745866
EUR/USD,1.4135842301225718
EUR/USD,1.4157719293482853
EUR/USD,1.4106636097900216
EUR/USD,1.4159346001671604
EUR/USD,1.4074938467169549
EUR/USD,1.4066370607701124
EUR/USD,1.3993090807656245
EUR/USD,1.3951114875948174
EUR/USD,1.4020839810049843
EUR/USD,1.3925161858894586
EUR/USD,1.395277639075703
EUR/USD,1.3924907238174027
EUR/USD,1.382701746468282
EUR/USD,1.3791937802982295
EUR/USD,1.3884297445348182
EUR/USD,1.3811654498144887
EUR/USD,1.3767233760796378
EUR/USD,1.3801214589726731
EUR/USD,1.3797566825894345
EUR/USD,1.3733473548563266
EUR/USD,1.3661452330150898
EUR/USD,1.3578866044066311
EUR/USD,1.3620006924313222
EUR/USD,1.3690552994685767
EUR/USD,1.367914430388802
EUR/USD,1.3708699467364167
EUR/USD,1.3648697669223644
EUR/USD,1.3613259534017745
EUR/USD,1.3630786337989507
EUR/USD,1.3584142885749788
EUR/USD,1.3641688712094007
EUR/USD,1.3544448870012886
EUR/USD,1.3509251714621369
EUR/USD,1.3473853586368307
EUR/USD,1.3459434852584227
EUR/USD,1.3448230117377087
EUR/USD,1.3369841919487246
EUR/USD,1.3450319529422052
EUR/USD,1.3502475864781178
EUR/USD,1.3568258081962985
EUR/USD,1.3623826488920192
EUR/USD,1.3531604170849292
EUR/USD,1.3565970910572862
EUR/USD,1.3644680921693306
EUR/USD,1.3590472594758602
EUR/USD,1.3586220071056447
EUR/USD,1.3637179984539658
EUR/USD,1.363590542861589
EUR/USD,1.364830774055833
EUR/USD,1.3558996708411621
EUR/USD,1.3594397990578453
EUR/USD,1.3682729545138794
EUR/USD,1.3777316889486753
EUR/USD,1.3712161917115488
EUR/USD,1.3710057388277093
EUR/USD,1.37055413711459
EUR/USD,1.3685007795182365
EUR/USD,1.3685790187088673
EUR/USD,1.3744360645395897
EUR/USD,1.3683978600958497
EUR/USD,1.36146547890173
EUR/USD,1.3609235767447063
EUR/USD,1.3684158366208736
EUR/USD,1.3651322852525931
EUR/USD,1.3580452718451963
EUR/USD,1.3604375495029766
EUR/USD,1.364032314484188
EUR/USD,1.3573873610966396
EUR/USD,1.3546708807845205
EUR/USD,1.3523676895505268
EUR/USD,1.3606775942696296
EUR/USD,1.3559094944849905
EUR/USD,1.3545321486490638
EUR/USD,1.3633376195110103
EUR/USD,1.3557678330440581
EUR/USD,1.3494767154521337
EUR/USD,1.343354228668835
EUR/USD,1.3361216400172975
EUR/USD,1.3350764417607108
EUR/USD,1.3305403250884937
EUR/USD,1.3269838638439244
EUR/USD,1.330826554663375
EUR/USD,1.3245394870917138
EUR/USD,1.332181650465301
EUR/USD,1.3367219867848883
EUR/USD,1.33435304782224
EUR/USD,1.340147929509299
EUR/USD,1.3329451838634996
EUR/USD,1.3384035460483878
EUR/USD,1.336301125546847
EUR/USD,1.3306677776450015
EUR/USD,1.325681546785796
